(0,0)
(0,0)
(1,0)
(2,0)
(3,0)
(4,0)
(5,0)
(6,0)
(7,0)
(8,0)
(9,0)
(10,0)
(11,0)
(12,0)
(13,0)
(14,0)
(15,0)
(16,0)
(17,0)
(18,0)
(19,0)
(20,0)
(20,1)
(20,1)
(21,1)
(22,1)
(23,1)
(24,1)
(25,1)
(26,1)
(27,1)
(28,1)
(29,1)
(30,1)
(31,1)
(32,1)
(33,1)
(34,1)
(35,1)
(35,1)
(36,1)
(37,1)
(38,1)
(39,1)
(40,1)
(41,1)
(42,1)
(43,1)
(44,1)
(45,1)
(46,1)
(47,1)
(48,1)
(49,1)
(50,1)
(51,1)
(52,1)
(53,1)
(54,1)
(55,1)
(56,1)
(57,1)
(57,2)
(57,2)
(58,2)
(59,2)
(60,2)
(61,2)
(62,2)
(63,2)
(64,2)
(65,2)
(66,2)
(67,2)
(68,2)
(69,2)
(70,2)
(71,2)
(72,2)
(73,2)
(73,3)
(73,4)
(73,5)
(73,6)
(73,6)
(74,6)
(75,6)
(76,6)
(77,6)
(78,6)
(79,6)
(80,6)
(81,6)
(82,6)
(83,6)
(84,6)
(85,6)
(86,6)
(87,6)
(88,6)
(88,7)
(88,7)
(89,7)
(90,7)
(91,7)
(92,7)
(93,7)
(94,7)
(95,7)
(96,7)
(97,7)
(98,7)
(99,7)
(100,7)
(101,7)
(101,8)
(101,9)
(101,10)
(101,11)
(101,12)
(101,12)
(102,12)
(103,12)
(104,12)
(105,12)
(106,12)
(107,12)
(108,12)
(109,12)
(110,12)
(111,12)
(112,12)
(113,12)
(113,13)
(113,14)
(113,15)
(113,16)
(113,17)
(113,18)
(113,19)
(113,19)
(114,19)
(115,19)
(116,19)
(117,19)
(118,19)
(119,19)
(120,19)
(121,19)
(122,19)
(123,19)
(124,19)
(125,19)
(126,19)
(127,19)
(128,19)
(129,19)
(130,19)
(131,19)
(131,19)
(132,19)
(132,18)
(132,17)
(132,16)
(132,15)
(132,14)
(132,13)
(132,12)
(132,11)
(132,11)
(133,11)
(134,11)
(135,11)
(136,11)
(137,11)
(138,11)
(139,11)
(140,11)
(141,11)
(142,11)
(143,11)
(144,11)
(145,11)
(146,11)
(147,11)
(147,10)
(147,9)
(147,9)
(148,9)
(149,9)
(150,9)
(151,9)
(152,9)
(153,9)
(154,9)
(155,9)
(156,9)
(157,9)
(158,9)
(159,9)
(160,9)
(160,10)
(160,11)
(160,11)
(161,11)
(162,11)
(163,11)
(164,11)
(165,11)
(166,11)
(167,11)
(168,11)
(169,11)
(170,11)
(171,11)
(172,11)
(173,11)
(174,11)
(175,11)
(176,11)
(177,11)
(177,12)
(177,13)
(177,13)
(178,13)
(179,13)
